id,state_code,state_name,anzsco_code,occupation_title,visa_subclass,stream,priority,conditions,source_url
1,nsw,New South Wales,1325,Research and Development Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
2,nsw,New South Wales,1331,Construction Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
3,nsw,New South Wales,1332,Engineering Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
4,nsw,New South Wales,1334,Manufacturers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
5,nsw,New South Wales,1335,Production Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
6,nsw,New South Wales,1341,Child Care Centre Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
7,nsw,New South Wales,1342,Health and Welfare Services Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
8,nsw,New South Wales,1343,School Principals,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
9,nsw,New South Wales,1351,ICT Managers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
10,nsw,New South Wales,2245,Land Economists and Valuers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
11,nsw,New South Wales,2321,Architects and Landscape Architects,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
12,nsw,New South Wales,2322,Surveyors and Spatial Scientists,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
13,nsw,New South Wales,2326,Urban and Regional Planners,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
14,nsw,New South Wales,2331,Chemical and Materials Engineers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
15,nsw,New South Wales,2332,Civil Engineering Professionals,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
16,nsw,New South Wales,2333,Electrical Engineers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
17,nsw,New South Wales,2334,Electronics Engineers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
18,nsw,New South Wales,2335,"Industrial, Mechanical and Production Engineers",190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
19,nsw,New South Wales,2336,Mining Engineers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
20,nsw,New South Wales,2339,Other Engineering Professionals,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
21,nsw,New South Wales,2341,Agricultural and Forestry Scientists,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
22,nsw,New South Wales,2342,"Chemists, and Food and Wine Scientists",190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
23,nsw,New South Wales,2343,Environmental Scientists,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
24,nsw,New South Wales,2344,"Geologists, Geophysicists and Hydrogeologists",190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
25,nsw,New South Wales,2347,Veterinarians,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
26,nsw,New South Wales,2411,Early Childhood (Pre-primary School) Teachers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
27,nsw,New South Wales,2412,Primary School Teachers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
28,nsw,New South Wales,2414,Secondary School Teachers,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
29,nsw,New South Wales,2421,University Lecturers and Tutors,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
30,nsw,New South Wales,2512,Medical Imaging Professionals,190,,,Unit group (4-digit ANZSCO),https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists
