visa_id,subclass
1,601
2,651
3,771
4,600
5,462
6,417
7,500
8,590
9,407
10,102
11,114
12,838
13,804
14,836
15,116
16,101
17,802
18,884
19,864
20,173
21,143
22,445
23,461
24,117
25,837
26,103
27,309
27,100
28,820
28,801
29,300
30,115
31,835
32,870
33,888
34,188
35,858
36,186
37,191
38,192
39,187
40,494
41,189
42,190
43,489
44,887
45,491
46,408
47,485
48,403
49,400
50,482
51,202
52,866
53,200
53,201
53,203
53,204
54,785
55,790
56,851
57,010
58,020
59,030
60,050
60,051
61,942
62,151
63,988
64,602
65,155
65,157
66,444
68,945
69,405
70,890
71,891
72,892
73,893
74,808
75,408
76,482
77,482
78,482
79,485
80,476
81,456
82,160
82,165
83,132
84,124
85,426
86,427
87,956
87,977
88,976
89,121
89,856
90,845
91,411
92,415
93,406
94,120
95,855
96,423
97,422
98,675
99,685
100,119
100,857
101,428
102,410
103,496
104,495
105,175
106,885
107,475
108,487
109,176
110,416
111,886
112,421
113,488
114,846
115,420
116,457
117,676
118,401
119,402
120,419
121,576
122,573
123,570
124,575
125,574
126,571
127,580
128,572
